#Table1
objID,ra,dec,u,g,r,i,z,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,type,clean
1237667205668864077,71.2116896577091,56.8170988096673,18.61915,16.88894,16.47114,16.27988,16.14632,18.62379,16.89059,16.47526,16.24962,16.14852,2.488531,1.939047,1.341423,0.9968213,0.7414519,6,1
1237667205668864078,71.2179873765478,56.8137989639177,22.05819,20.01735,19.00949,18.49482,18.23421,22.00611,20.01009,19.00484,18.48079,18.22631,2.489407,1.939729,1.341895,0.9971721,0.7417129,6,1
1237667205668864079,71.215110366911,56.8163996508189,24.79133,21.42272,19.51929,18.63061,18.16175,24.79852,21.5364,19.70933,18.82003,18.29305,2.489132,1.939515,1.341747,0.997062,0.741631,3,1
1237667205668864085,71.2500906727988,56.7958174330079,17.64905,15.59243,14.67085,14.29609,14.09931,17.6336,15.59232,14.6779,14.24813,14.08658,2.472412,1.926487,1.332735,0.9903647,0.7366494,6,1
1237667205668864086,71.2465846486188,56.7952004169532,19.67708,17.67943,16.57464,16.01737,15.68469,19.68866,17.67766,16.59569,15.99085,15.68899,2.472422,1.926494,1.33274,0.9903685,0.7366523,6,1
1237667205668864087,71.2537477675518,56.794223549022,24.40998,24.24738,22.91834,21.40309,20.80549,24.3821,24.21472,22.8977,21.39476,20.81461,2.469619,1.92431,1.331229,0.9892459,0.7358172,6,1
1237667205668864098,71.1209839817665,56.8794316185937,21.25389,19.33931,18.38978,17.96023,17.66602,21.24979,19.335,18.3637,17.94492,17.6588,2.425319,1.889793,1.30735,0.9715009,0.7226182,6,1
1237680263996112996,350.389205518192,-7.04477732162232,18.77579,16.812,16.05302,15.79757,15.64707,18.78158,16.82093,16.04401,15.80247,15.65674,0.15001,0.1168868,0.08086172,0.06008893,0.04469512,6,1
1237680263996112997,350.382547178592,-7.04100391350236,23.25962,21.65907,20.38078,19.84798,19.36911,23.27345,22.15779,20.88151,20.43303,19.92093,0.1498791,0.1167848,0.08079115,0.06003648,0.04465612,3,1
1237680263996112998,350.38102911845,-7.04117857511765,24.61093,24.19704,21.72498,20.46593,20.42139,24.53195,24.22578,21.83981,20.65676,20.48686,0.1498782,0.1167841,0.08079068,0.06003614,0.04465586,3,1
1237680263996112999,350.379238069108,-7.04121564060606,26.37883,24.86612,21.94123,21.01631,20.75563,26.27522,24.85228,22.00266,21.09984,20.73631,0.149868,0.1167761,0.08078519,0.06003206,0.04465282,6,1
1237680263996113000,350.383601635333,-7.04041521187632,23.4811,23.08722,21.65376,21.09748,20.73731,23.43975,23.04098,21.70107,21.19979,20.74499,0.1498624,0.1167718,0.08078218,0.06002982,0.04465115,3,1
1237680263996113001,350.384282759241,-7.04319859259303,26.07231,23.91944,21.41664,20.80572,22.17569,25.93901,23.99897,21.8662,21.21128,22.0854,0.1499637,0.1168507,0.0808368,0.0600704,0.04468134,3,1
1237680263996113007,350.3960704644,-6.97524992268459,19.59057,18.53014,18.07666,17.89682,17.8443,19.59775,18.53148,18.07779,17.91391,17.8521,0.1512506,0.1178534,0.08153046,0.06058587,0.04506476,6,1
1237680263996113008,350.395715787047,-6.97321285696651,24.61831,22.40346,21.57713,21.36693,22.811,24.48263,22.77205,21.967,21.77222,22.75964,0.1513401,0.1179232,0.08157872,0.06062174,0.04509144,3,1
1237680263996113009,350.394697564183,-7.041088583031,20.75337,19.75838,19.35676,19.23075,19.17118,20.7555,19.77003,19.37765,19.26027,19.16153,0.1498621,0.1167715,0.08078197,0.06002967,0.04465104,6,1
1237680263996113012,350.402743207662,-6.85388633867912,22.96429,19.26991,17.80991,16.78941,16.24158,22.87948,19.26378,17.81363,16.78458,16.25483,0.1540032,0.1199982,0.08301423,0.06168847,0.04588489,6,1
1237680263996113015,350.407177994857,-6.92234447448493,22.46733,19.77877,18.37007,17.66682,17.2553,22.3629,19.78256,18.37996,17.6763,17.26703,0.1538658,0.1198912,0.08294019,0.06163345,0.04584396,6,1
1237680263996113017,350.413496431708,-6.86139197999041,20.04478,18.33395,17.62091,17.33937,17.18811,20.06415,18.34706,17.6381,17.34772,17.21159,0.1551001,0.1208529,0.08360551,0.06212785,0.04621171,6,1
1237667725359906939,82.8123535172612,9.54715920939043,17.66455,16.19561,15.54817,15.28016,15.14135,17.6675,16.20267,15.5713,15.2858,15.13952,1.073833,0.8367233,0.5788413,0.4301411,0.319946,6,1
1237667725359906941,82.9178803418375,9.54744065384508,18.12146,16.78674,16.26571,16.02942,15.93616,18.11663,16.79285,16.2749,16.02802,15.9385,1.095707,0.8537673,0.5906323,0.438903,0.3264632,6,1
1237667725359906943,82.844746556457,9.54636524708229,17.89799,16.35207,15.64236,15.34523,15.1853,17.90197,16.36492,15.66656,15.35236,15.18795,1.073164,0.8362024,0.578481,0.4298733,0.3197468,6,1
1237667725359906947,82.9630983428826,9.54386273416584,18.47512,16.78972,16.07461,15.77459,15.61687,18.46896,16.79488,16.09205,15.78215,15.61541,1.122073,0.8743119,0.604845,0.4494646,0.3343191,6,1
1237667725359906949,82.8725296979778,9.53921136775139,17.61509,16.3797,15.88881,15.67284,15.56153,17.61534,16.38654,15.91059,15.68535,15.56408,1.07742,0.8395182,0.5807748,0.4315779,0.3210147,6,1
1237667725359906951,82.8983707428288,9.53787647611943,18.05084,16.61847,15.97969,15.68555,15.5306,18.05859,16.62032,15.99071,15.68653,15.52995,1.087488,0.8473635,0.5862021,0.435611,0.3240146,6,1
1237667725359906954,82.958083300958,9.5345917551736,17.89413,16.58601,16.03106,15.77607,15.63509,17.89751,16.58998,16.0497,15.78828,15.63312,1.12087,0.873374,0.6041961,0.4489825,0.3339605,6,1
1237667725359906955,82.956268537819,9.53610096590949,19.75101,18.64291,18.04652,17.74989,17.64195,19.76141,18.64529,18.05377,17.75986,17.64149,1.119501,0.8723073,0.6034582,0.4484341,0.3335526,6,1
1237667725359906957,82.7651826703791,9.52000804528247,16.96378,15.65098,15.07183,14.82016,14.68679,16.96322,15.64869,15.0948,14.8272,14.70015,1.076023,0.83843,0.580022,0.4310185,0.3205986,6,1
1237667725359906960,82.8070872344015,9.51472431077228,16.93254,15.53122,14.97799,14.76078,14.65598,16.93806,15.53403,15.00034,14.77131,14.64829,1.063966,0.8290354,0.5735229,0.4261889,0.3170063,6,1
1237667725359906961,82.8067928432669,9.51251648617357,19.1567,17.69589,17.02536,16.71807,16.55239,19.18266,17.7114,17.05798,16.74207,16.56379,1.063526,0.8286926,0.5732857,0.4260127,0.3168752,6,1
1237668330950754329,212.022280604877,14.7790890112312,16.04675,14.8306,14.42255,14.29012,14.24564,16.02614,14.82802,14.40487,14.27973,14.2411,0.05584086,0.04351082,0.03010058,0.02236796,0.01663765,6,1
1237668330950754330,212.023628065767,14.7792085533893,24.64923,22.58814,21.47857,20.68086,20.32047,24.63431,22.6289,21.60417,20.8129,20.38689,0.05577873,0.04346241,0.03006709,0.02234307,0.01661914,3,1
