#Table1
specObjID,bestObjID,class,subClass,z,zErr,zWarning,sciencePrimary,ra,dec
7220539695150946304,1237667430104694861,STAR,F0IV (81937),-3.677431E-05,6.196662E-06,0,1,167.08697,26.158274
7220543818319550464,1237667322176209134,STAR,B8III (220575),-0.0003897061,8.733389E-05,0,1,167.06732,25.671709
7220546841976526848,1237667323250147560,STAR,F0IV (81937),0.0003592158,9.530506E-05,0,1,167.45162,26.572239
7220550140511410176,1237667323249950852,STAR,F3/F5V (30743),6.250553E-05,1.532615E-05,0,1,167.00418,26.449162
7220550690267224064,1237667429567955102,STAR,CV,0.0001467642,6.930184E-05,0,1,167.3888,25.94575
7220551240023037952,1237667430104891415,STAR,O8e (188001),-9.779184E-06,4.269573E-05,0,1,167.49975,26.312612
7220555638069549056,1237667322176405737,STAR,A4V (136729),-0.0003210349,9.004588E-05,0,1,167.51696,25.716056
7220561135627687936,1237667430104891656,STAR,A1III (225180),7.542221E-05,0.0001028352,0,1,167.57358,26.34676
7220564434162571264,1237667322713342080,STAR,F3/F5V (30743),-0.0001795985,1.468489E-05,0,1,167.74132,26.135759
12768858472692602880,1237678598616187073,STAR,CV,-0.0007480718,2.952271E-05,0,1,334.42655,3.28901
12768866719029811200,1237678598616056251,STAR,WDcooler,-0.0002926668,0.0001830202,0,1,334.2053,3.3101213
12768872216587950080,1237678620090826811,STAR,F3/F5V (30743),-0.0001002037,1.151512E-05,0,1,333.97591,3.0510181
12768881837314693120,1237678620090696699,STAR,M4.5:III (123657),0.0001152329,9.292717E-05,0,1,333.747,2.9784717
12768883486582134784,1237678620090761958,STAR,M5III (221615),0.0001634551,0.0001031392,0,1,333.84621,2.9819184
6182339579452086272,1237668271910748621,STAR,WDcooler,-0.0005352147,0.0002393427,0,1,231.26821,13.926075
6182340678963714048,1237668271910814548,STAR,A1V (95418),-0.0003653863,9.941685E-05,0,1,231.44519,13.913624
6182342328231155712,1237668311088758975,STAR,A2II (39866),-0.000208148,2.251229E-05,0,1,231.35522,14.176425
6182344527254411264,1237668272447553813,STAR,F3/F5V (30743),0.0001914373,1.426568E-05,0,1,231.23029,14.361802
6182345077010225152,1237668272447619392,STAR,WDhotter,-0.0002821649,4.989422E-05,0,1,231.33882,14.337967
6182345626766039040,1237668272447553858,STAR,K3V (32147),3.705813E-05,6.733052E-06,0,1,231.28407,14.473033
6182347001155573760,1237668272984425252,STAR,M4.5:III (123657),-6.977302E-05,5.359971E-05,0,1,231.32772,14.813065
6182354422859061248,1237668311088627897,STAR,K3V (32147),-6.075627E-05,1.203871E-05,0,1,231.04591,14.264419
6182354697736968192,1237668311088693807,STAR,M5III (221615),-1.633179E-05,0.0001103264,0,1,231.22844,14.276275
6182355797248595968,1237668272447488274,STAR,A2II (39866),-0.0005684862,2.477249E-05,0,1,231.05132,14.562237
6182356347004409856,1237668272447488107,STAR,F2III (89254),0.0001012614,4.401891E-05,0,1,231.12269,14.556156
6182359645539293184,1237668272984293610,STAR,F3/F5V (30743),-0.0001867137,1.316684E-05,0,1,231.0212,14.903183
6182360470173014016,1237668272984293670,STAR,F0IV (81937),-0.0006672378,2.019079E-05,0,1,231.08129,14.859049
6182361019928827904,1237668271373746180,STAR,F0IV (81937),-0.0006315723,6.287045E-06,0,1,230.79812,13.750695
6182362669196269568,1237668271373746411,STAR,F8V (G_243-63),-0.0002194904,3.736589E-05,0,1,230.83927,13.727993
6182365967731152896,1237668311088562385,STAR,G4V (32923),-0.0002041967,1.7068E-05,0,1,230.89747,14.281069
